telefono,whatsapp,name,surname,id_contact
4553101,04553101,Terence,McKenna,30000001
4553102,04553102,Timothy,Leary,30000002
4553103,04553103,Albert,Hoffman,30000003
4553104,04553104,Aldous,Huxley,30000004
4553105,04553105,Herman,Hesse,30000005
5553101,05553101,Jorge Luis,Borges,30000006
5553102,05553102,Jiddu,Krishnamurti,30000007
5553103,05553103,Herman,Hesse,30000008
5553104,05553104,Aleister,Crowley,30000009
5553105,05553105,Facundo,Cabral,30000010
6553101,06553101,Atahualpa,Yupanqui,30000011
6553102,06553102,Carl Gustav, Jung,30000012
6553103,06553103,Isaac,Luria,30000013
6553104,06553104,Robert Anton,Wilson,30000014
